survey,item,variable,values,question_text,response_categories,agreed,notes
uspew2004_3nii,marry4a,q37,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/march-2004-news-interest-index/
uspew2004_8nii,marry4a,q36,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/august-2004-news-interest-index/
uspew2004_ial,marry2,gm1,"c(2, 1)",Do you favor or oppose allowing gay and lesbian couples to marry legally?,1 favor / 2 oppose,1,
uspew2004_typo,accept2,q20u,"c(2, 1)",Homosexuality is a way of life that should be accepted by society,1 accepted / 2 discouraged,1,
uspew2004_typo,marry4a,q36b,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2005_news,marry4a,q50,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2006_02nii,approve3,q47f2c,"c(2, 3, 1)","Is homosexual behavior morally acceptable, morally wrong, or is it not a moral issue?",1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,
uspew2006_03nii,adopt4b,q25f,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to adopt children?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2006_03nii,marry4a,q25gf1,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2006_06nii,marry4a,q37,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2006_09next,accept2,q59d,"c(2, 1)",Homosexuality is a way of life that should be accepted by society,1 accepted / 2 discouraged,1,
uspew2006_elec,marry4a,q23,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/2006-election-weekend-survey/
uspew2006_rel,adopt4b,q12f1,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to adopt children?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/2006-religion-public-life-survey/
uspew2006_rel,marry4a,q8,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/2006-religion-public-life-survey/
uspew2007_prim,marry4a,q35,c(4:1),"Would you say you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 accepted / 2 discouraged,1,https://www.pewresearch.org/politics/dataset/november-2007-caucus-primary-scene-setter-survey/
uspew2007_rel,marry4a,q3c,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/august-2007-religion-and-public-life-survey/
uspew2007_rls,accept2,q5b,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality is a way of life that should be accepted by society / 2 homosexuality is a way of life that should not be accepted by society,1,https://www.pewresearch.org/religion/dataset/u-s-religious-landscape-survey/
uspew2008_10mid,marry2,q33bf2,"c(2, 1)",Do you favor or oppose allowing gays and lesbians to marry legally?,1 favor / 2 oppose,1,
uspew2008_pol,marry4a,q34,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2008_rel,adopt4b,q25e,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to adopt children?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2008_rel,marry4a,q25c,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2008_vote,marry4a,q62,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2009_rel,approve3,q180b,"c(2, 3, 1)","Do you personally believe that homosexual behavior is morally acceptable, morally wrong, or is it not a moral issue?",1 morally acceptable / 2 morally wrong / 3 not a moral issue,1,https://www.pewresearch.org/politics/dataset/august-2009-religion-survey/
uspew2009_rel,marry4a,q146a,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/august-2009-religion-survey/
uspew2009_val,marry4a,qb19,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2010_09pi,marry4a,q40,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2010_st,marry4a,q41,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2011_typo,marry4a,qa61,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2012_05val,marry4a,q21fb,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gay and lesbian couples to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2012_10late,marry4a,q45,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,
uspew2012_comm,accept2,q17b,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/early-january-2012-communications-survey/
uspew2012_rel,adopt4b,q30b,c(4:1),"Do you strongly favor, favor, oppose or strongly oppose allowing gays and lesbians to adopt children?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,,https://www.pewresearch.org/politics/dataset/july-2012-religion-survey/
uspew2012_rel,marry4a,q30a,c(4:1),"Do you strongly favor, favor, oppose or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,,https://www.pewresearch.org/politics/dataset/july-2012-religion-survey/
uspew2013_3pol,accept2,q15c,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/march-2013-political-survey/
uspew2013_3pol,marry4a,q61,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/march-2013-political-survey/
uspew2013_5pol,marry4a,q36a,c(4:1),"Do you strongly favor, favor, oppose or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/may-2013-political-survey/
uspew2014_9rel,marry4a,q19,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/september-2014-religion-and-politics-survey/
uspew2014_rls,marry4a,qb22,c(4:1),"Do you strongly favor, favor, oppose or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/religion/dataset/pew-research-center-2014-u-s-religious-landscape-study/
uspew2014_typo,accept2,q50u,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/2014-political-polarization-survey/
uspew2014_typo,marry4a,qb108,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/2014-political-polarization-survey/
uspew2015_5pol,accept2,q24a,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/may-2015-political-survey/
uspew2015_5pol,marry4a,q40,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/may-2015-political-survey/
uspew2015_7pol,marry4a,q50,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/july-2015-political-survey/
uspew2015_gov,accept2,q42m,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/2015-governance-survey/
uspew2016_3pol,marry4a,q76,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,1,https://www.pewresearch.org/politics/dataset/march-2016-political-survey/
uspew2016_fp,accept2,q64c,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/april-2016-politics-and-foreign-policy-survey/
uspew2017_6typo,accept2,q50u,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,1,https://www.pewresearch.org/politics/dataset/political-typology-2017/
uspew2019_03pol,marry4a,q58,c(4:1),"Do you strongly favor, favor, oppose, or strongly oppose allowing gays and lesbians to marry legally?",1 strongly favor / 2 favor / 3 oppose / 4 strongly oppose,,
uspew2019_09amtr,accept2,acceptlg,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,,
uspew2020_faba,accept2,acceptlg,"c(2, 1)",Tell whether the FIRST statement or the SECOND statement comes closer to your own views,1 homosexuality should be accepted by society / 2 homosexuality should be discouraged by society,,
uswapo199808,legal2,q29,"c(2, 1)",Do you think homosexual relations between consenting adults should be legal or illegal?,1 legal / 2 illegal,1,
wvs_combo,just10,f118,c(1:10),Justifiable: Homosexuality,1 never justifiable / 10 always justifiable,1,
wvs_combo,neigh2,"if_else(s025==502002|s025==5862001, 1 - as.numeric(a124_09), as.numeric(a124_09))","c(1, 0)",On this list are various groups of people. Could you identify any that you would not like to have as neighbours?,1 mentioned 0 not mentioned,,
wvs7,just10,q182,c(1:10),Justifiable: Homosexuality,1 never justifiable / 10 always justifiable,1,
wvs7,neigh2,q22,c(1:2),On this list are various groups of people. Could you please mention any that you would not like to have as neighbors?: Homosexuals,1 mentioned / 2 not mentioned,1,
wvs7,parent5,q36,c(5:1),Homosexual couples are as good parents as other couples,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,1,
cgss2005,approve5,qe15b,c(1:5),"Homosexuality is a personal behavior, others should not blame",1 Strongly disagree 2 disagree 3 Neighter 4 Agree 5 Strongly Agree,,
cgss2010,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2012,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2013,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2015,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2015,approve5,b112,c(1:5),"Homosexuality is a personal behavior, others should not blame",1 Strongly disagree 2 disagree 3 Neighter 4 Agree 5 Strongly Agree,,
cgss2017,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2018,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
cgss2021,approve5,a40,c(1:5),Do you think same-sex sex is wrong?,1 Always wrong 2 Mostly wrong  3 Sometimes wrong 4 Rarely wrong  5  Not wrong at all,,
